"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri May 05 15:01:13 GMT 2023","Fri May 05 15:01:26 GMT 2023","13328","","Suite 2 - Cadastro Usuário | Cadastrar usuário","","Suite 2 - Cadastro Usuário | Cadastrar usuário","Preencher campos do cadastro do usuário [desafio]","Preencher campos do cadastro do usuário [desafio]",""
"passed","Fri May 05 14:56:24 GMT 2023","Fri May 05 14:57:48 GMT 2023","83874","","Suite 1 - Carrinho de compras Produto | Adicionar ao carrinho","","Suite 1 - Carrinho de compras Produto | Adicionar ao carrinho","Adicionar produto com recorrencia ao carrinho [desafio]","Adicionar produto com recorrencia ao carrinho [desafio]",""
"passed","Fri May 05 14:55:41 GMT 2023","Fri May 05 14:56:24 GMT 2023","43021","","Suite 1 - Carrinho de compras Produto | Adicionar ao carrinho","","Suite 1 - Carrinho de compras Produto | Adicionar ao carrinho","Consultar produto e adicionar primeiro item da lista ao carrinho [desafio]","Consultar produto e adicionar primeiro item da lista ao carrinho [desafio]",""
"passed","Fri May 05 14:57:48 GMT 2023","Fri May 05 14:59:56 GMT 2023","128036","","Suite 1 - Carrinho de compras Produto | Adicionar ao carrinho","","Suite 1 - Carrinho de compras Produto | Adicionar ao carrinho","Adicionar mais produtos e somar carrinho [desafio]","Adicionar mais produtos e somar carrinho [desafio]",""
